event time,asset,transaction time,ask,ask size,bid,bid size
1747689816712,MOODENGUSDT,1747689816724,0.2466600,5055,0.2341600,16656
1747689816749,1000PEPEUSDT,1747689816762,0.0132191,1008145,0.0131677,975790
1747689816746,ETHUSDT,1747689816768,2515.81,153.811,200.00,26.897
1747689816762,XRPUSDT,1747689816772,2.3755,14756.0,2.3563,122276.4
1747689816744,BTCUSDC,1747689816779,105306.1,2.875,105197.3,6.183
1747689816784,DOGEUSDT,1747689816806,0.223650,63308,0.223180,353951
1747689816814,BTCUSDT,1747689816815,105277.90,0.012,1000.00,64.028
1747689816800,SOLUSDT,1747689816816,165.7000,500.56,132.5600,1.35
1747689816816,ETHUSDC,1747689816817,2516.51,44.993,2013.27,0.000
1747689816818,MOODENGUSDT,1747689816827,0.2465000,3426,0.2341100,21143
1747689816827,1000PEPEUSDT,1747689816867,0.0132191,970518,0.0132049,954946
1747689816869,ETHUSDT,1747689816870,2515.81,156.090,2012.65,0.000
1747689816868,XRPUSDT,1747689816897,,,2.3273,8469.2
1747689816901,DOGEUSDT,1747689816907,0.223680,102827,0.222980,176063
1747689816917,BTCUSDT,1747689816918,105277.80,14.639,1000.00,64.028
1747689816917,ETHUSDC,1747689816918,2516.51,45.005,2480.02,619.524
1747689816917,SOLUSDT,1747689816923,166.7500,2951.87,160.6400,21.52
1747689816925,MOODENGUSDT,1747689816929,0.2465400,1666,0.2459400,8580
1747689816938,BTCUSDC,1747689816939,105335.5,0.000,105230.5,0.407
1747689816969,1000PEPEUSDT,1747689816970,0.0132162,11422,0.0092514,541
1747689816972,ETHUSDT,1747689816973,2515.61,135.455,200.00,26.897
1747689817008,DOGEUSDT,1747689817010,0.223650,83580,0.221500,4021620
1747689817010,XRPUSDT,1747689817015,2.3752,15203.9,2.3261,16958.0
1747689817018,ETHUSDC,1747689817019,2516.47,47.933,2458.94,48.737
1747689817018,BTCUSDT,1747689817019,105277.80,14.728,5000.00,0.776
1747689817023,SOLUSDT,1747689817025,165.7000,500.92,160.7200,247.78
1747689817029,MOODENGUSDT,1747689817032,0.2465400,3662,0.2430300,5974
1747689817037,BTCUSDC,1747689817040,105316.6,0.000,105257.6,0.164
1747689817071,1000PEPEUSDT,1747689817071,0.0132157,0,0.0092514,0
1747689817073,ETHUSDT,1747689817074,2515.61,133.798,200.00,26.897
1747689817112,DOGEUSDT,1747689817113,0.223650,83718,0.219020,32887
1747689817112,XRPUSDT,1747689817118,2.3753,14552.5,1.9001,4427.2
1747689817119,BTCUSDT,1747689817120,105277.80,14.756,1000.00,64.028
1747689817121,ETHUSDC,1747689817123,2516.47,47.990,2479.47,16.109
1747689817104,SOLUSDT,1747689817127,165.7000,500.99,163.0800,910.39
1747689817117,MOODENGUSDT,1747689817134,0.2466500,3369,0.2456000,22623
1747689817128,BTCUSDC,1747689817160,105322.0,0.067,105199.1,1.322
1747689817168,1000PEPEUSDT,1747689817172,0.0132172,0,0.0125577,0
1747689817171,ETHUSDT,1747689817175,2515.61,134.476,2491.70,22.041
1747689817215,DOGEUSDT,1747689817216,0.223650,84643,0.201280,186
1747689817198,XRPUSDT,1747689817219,2.3752,15222.2,1.9001,4423.5
1747689817221,BTCUSDT,1747689817222,105277.80,14.688,1000.00,64.028
1747689817209,ETHUSDC,1747689817231,2516.47,48.007,2473.93,70.065
1747689817188,MOODENGUSDT,1747689817236,0.2466400,3273,,
1747689817235,SOLUSDT,1747689817237,165.7000,500.73,132.5600,1.41
1747689817271,1000PEPEUSDT,1747689817274,0.0132173,11133,0.0118955,4740
1747689817277,ETHUSDT,1747689817278,2515.61,134.494,200.00,26.897
